state,year,years_since_ald_set,pres,gov,grade,subject,ald,value
CT,2015,0,D,?,8,MATHEMATICS,AD,9.73379762561202
CT,2015,0,D,?,8,READING,BB,18.0624908366075
CT,2015,0,D,?,8,READING,BA,38.6669314767315
CT,2015,0,D,?,8,READING,PR,36.8084538448601
CT,2015,0,D,?,8,READING,AD,6.46212384180097
CT,2017,2,D,?,4,MATHEMATICS,BB,20.6671209455382
CT,2017,2,D,?,4,MATHEMATICS,BA,39.4079700102033
CT,2017,2,D,?,4,MATHEMATICS,PR,32.2556262717542
CT,2017,2,D,?,4,MATHEMATICS,AD,7.66928277250421
CT,2017,2,D,?,4,READING,BB,26.1486186569723
CT,2017,2,D,?,4,READING,BA,31.121524360808
CT,2017,2,D,?,4,READING,PR,30.6182010983678
CT,2017,2,D,?,4,READING,AD,12.1116558838518
CT,2017,2,D,?,8,MATHEMATICS,BB,27.9645413549907
CT,2017,2,D,?,8,MATHEMATICS,BA,35.810652160144
CT,2017,2,D,?,8,MATHEMATICS,PR,25.9762682769707
CT,2017,2,D,?,8,MATHEMATICS,AD,10.2485382078945
CT,2017,2,D,?,8,READING,BB,19.7750870385757
CT,2017,2,D,?,8,READING,BA,36.4663353331664
CT,2017,2,D,?,8,READING,PR,37.0655344154525
CT,2017,2,D,?,8,READING,AD,6.69304321280542
CT,2019,4,D,?,4,MATHEMATICS,BB,17.5399995547631
CT,2019,4,D,?,4,MATHEMATICS,BA,37.4623057404592
CT,2019,4,D,?,4,MATHEMATICS,PR,34.9076153240185
CT,2019,4,D,?,4,MATHEMATICS,AD,10.0900793807592
CT,2019,4,D,?,4,READING,BB,29.9671893781603
CT,2019,4,D,?,4,READING,BA,29.9137122852788
CT,2019,4,D,?,4,READING,PR,28.5765562457171
CT,2019,4,D,?,4,READING,AD,11.5425420908438
CT,2019,4,D,?,8,MATHEMATICS,BB,28.2634712217004
CT,2019,4,D,?,8,MATHEMATICS,BA,32.5089254191284
CT,2019,4,D,?,8,MATHEMATICS,PR,25.8035312799359
CT,2019,4,D,?,8,MATHEMATICS,AD,13.4240720792353
CT,2019,4,D,?,8,READING,BB,22.4944926485883
CT,2019,4,D,?,8,READING,BA,36.4949331658253
CT,2019,4,D,?,8,READING,PR,35.2539730223176
CT,2019,4,D,?,8,READING,AD,5.7566011632688
DE,2011,1,D,D,4,MATHEMATICS,BB,16.2801503414374
DE,2011,1,D,D,4,MATHEMATICS,BA,45.1519696209706
DE,2011,1,D,D,4,MATHEMATICS,PR,33.5649407768465
DE,2011,1,D,D,4,MATHEMATICS,AD,5.00293926074539
DE,2011,1,D,D,4,READING,BB,27.6886291268057
DE,2011,1,D,D,4,READING,BA,36.1648660410054
DE,2011,1,D,D,4,READING,PR,28.7456310322942
DE,2011,1,D,D,4,READING,AD,7.40087379989462
DE,2011,1,D,D,8,MATHEMATICS,BB,26.3080189845819
DE,2011,1,D,D,8,MATHEMATICS,BA,41.7706194591695
DE,2011,1,D,D,8,MATHEMATICS,PR,24.9969694196424
DE,2011,1,D,D,8,MATHEMATICS,AD,6.92439213660621
DE,2011,1,D,D,8,READING,BB,22.8806047881257
DE,2011,1,D,D,8,READING,BA,44.4292084034033
DE,2011,1,D,D,8,READING,PR,29.3911192403857
DE,2011,1,D,D,8,READING,AD,3.29906756808519
DE,2013,3,D,D,4,MATHEMATICS,BB,14.1431001342337
DE,2013,3,D,D,4,MATHEMATICS,BA,43.7284792408277
DE,2013,3,D,D,4,MATHEMATICS,PR,34.9399815570698
DE,2013,3,D,D,4,MATHEMATICS,AD,7.18843906786881
DE,2013,3,D,D,4,READING,BB,27.2611295918297
DE,2013,3,D,D,4,READING,BA,34.7370999243586
DE,2013,3,D,D,4,READING,PR,29.2309866026413
