state,year,pres,gov,grade,subject,ald,value
AK,2017,R,I,4,MATHEMATICS,BA,39.2755073963535
AK,2017,R,I,4,MATHEMATICS,PR,26.4315198352904
AK,2017,R,I,4,MATHEMATICS,AD,5.22443574768237
AK,2017,R,I,4,READING,BB,43.6242201763013
AK,2017,R,I,4,READING,BA,28.1684814795774
AK,2017,R,I,4,READING,PR,22.318453050733
AK,2017,R,I,4,READING,AD,5.88884529338828
AK,2017,R,I,4,SCIENCE,BB,5.88884529338828
AK,2017,R,I,4,SCIENCE,BA,5.88884529338828
AK,2017,R,I,4,SCIENCE,PR,5.88884529338828
AK,2017,R,I,4,SCIENCE,AD,5.88884529338828
AK,2017,R,I,8,MATHEMATICS,BB,34.3139685205604
AK,2017,R,I,8,MATHEMATICS,BA,36.4599580969563
AK,2017,R,I,8,MATHEMATICS,PR,21.0935104747806
AK,2017,R,I,8,MATHEMATICS,AD,8.1325629077028
AK,2017,R,I,8,READING,BB,30.3396050119591
AK,2017,R,I,8,READING,BA,43.5235924952522
AK,2017,R,I,8,READING,PR,24.6415058437141
AK,2017,R,I,8,READING,AD,1.49529664907466
AK,2019,R,R,4,MATHEMATICS,BB,27.1430579888557
AK,2019,R,R,4,MATHEMATICS,BA,39.690383365297
AK,2019,R,R,4,MATHEMATICS,PR,27.8555084099376
AK,2019,R,R,4,MATHEMATICS,AD,5.31105023590964
AK,2019,R,R,4,READING,BB,46.7523371823267
AK,2019,R,R,4,READING,BA,28.1960812811068
AK,2019,R,R,4,READING,PR,19.7476941597555
AK,2019,R,R,4,READING,AD,5.30388737681106
AK,2019,R,R,4,SCIENCE,BB,5.30388737681106
AK,2019,R,R,4,SCIENCE,BA,5.30388737681106
AK,2019,R,R,4,SCIENCE,PR,5.30388737681106
AK,2019,R,R,4,SCIENCE,AD,5.30388737681106
AK,2019,R,R,8,MATHEMATICS,BB,36.9195371188666
AK,2019,R,R,8,MATHEMATICS,BA,34.0404607474797
AK,2019,R,R,8,MATHEMATICS,PR,21.9495358001468
AK,2019,R,R,8,MATHEMATICS,AD,7.09046633350688
AK,2019,R,R,8,READING,BB,36.7326510602348
AK,2019,R,R,8,READING,BA,39.9764185364753
AK,2019,R,R,8,READING,PR,21.4619629200496
AK,2019,R,R,8,READING,AD,1.82896748324026
AZ,1992,R,R,4,MATHEMATICS,BB,46.5286806035856
AZ,1992,R,R,4,MATHEMATICS,BA,40.3968898116963
AZ,1992,R,R,4,MATHEMATICS,PR,12.259694059688
AZ,1992,R,R,4,MATHEMATICS,AD,0.814735525029998
AZ,1992,R,R,4,READING,BB,45.6622999883145
AZ,1992,R,R,4,READING,BA,33.5195736575172
AZ,1992,R,R,4,READING,PR,17.6955105012365
AZ,1992,R,R,4,READING,AD,3.12261585293181
AZ,1992,R,R,8,MATHEMATICS,BB,45.3392041346124
AZ,1992,R,R,8,MATHEMATICS,BA,39.5948304635819
AZ,1992,R,R,8,MATHEMATICS,PR,13.6167003977662
AZ,1992,R,R,8,MATHEMATICS,AD,1.44926500403953
AZ,1996,D,R,4,MATHEMATICS,BB,43.4882731953623
AZ,1996,D,R,4,MATHEMATICS,BA,41.2599570723159
AZ,1996,D,R,4,MATHEMATICS,PR,13.8312390806521
AZ,1996,D,R,4,MATHEMATICS,AD,1.42053065166976
AZ,1996,D,R,8,MATHEMATICS,BB,42.5608443311515
AZ,1996,D,R,8,MATHEMATICS,BA,39.7239441815497
AZ,1996,D,R,8,MATHEMATICS,PR,15.9151240588214
AZ,1996,D,R,8,MATHEMATICS,AD,1.80008742847739
AZ,2000,R,R,4,MATHEMATICS,BB,43.2696274714601
AZ,2000,R,R,4,MATHEMATICS,BA,40.9085949288512
AZ,2000,R,R,4,MATHEMATICS,PR,14.3549879184008
AZ,2000,R,R,4,MATHEMATICS,AD,1.46678968128792
AZ,2000,R,R,8,MATHEMATICS,BB,40.239338496114
AZ,2000,R,R,8,MATHEMATICS,BA,39.6717214818723
AZ,2000,R,R,8,MATHEMATICS,PR,16.6009365015213
AZ,2000,R,R,8,MATHEMATICS,AD,3.48800352049246
AZ,2003,R,D,4,MATHEMATICS,BB,29.9506675772436
AZ,2003,R,D,4,MATHEMATICS,BA,44.6175524576958
AZ,2003,R,D,4,MATHEMATICS,PR,23.2261134397597
AZ,2003,R,D,4,MATHEMATICS,AD,2.20566652530092
AZ,2003,R,D,4,READING,BB,45.7540009850561
AZ,2003,R,D,4,READING,BA,30.779699916539
AZ,2003,R,D,4,READING,PR,18.9921974920112
AZ,2003,R,D,4,READING,AD,4.47410160639368
AZ,2003,R,D,8,MATHEMATICS,BB,38.5429204580623
AZ,2003,R,D,8,MATHEMATICS,BA,40.5716138551981
AZ,2003,R,D,8,MATHEMATICS,PR,18.1914093688297
AZ,2003,R,D,8,MATHEMATICS,AD,2.69405631790997
AZ,2003,R,D,8,READING,BB,33.6827505842487
